Station,Length,Shear
4,438,-1233.1914764669918
4,439,-1233.1914764669918
4,440,-1233.1914764669918
4,441,-1233.1914764669918
4,442,-1233.1914764669918
4,443,-1233.1914764669918
4,444,-1233.1914764669918
4,445,-1233.1914764669918
4,446,-1233.1914764669918
4,447,-1233.1914764669918
4,448,-1233.1914764669918
4,449,-1233.1914764669918
4,450,-1233.1914764669918
4,451,-1233.1914764669918
4,452,-1233.1914764669918
4,453,-1233.1914764669918
4,454,-1233.1914764669918
4,455,-1233.1914764669918
4,456,-1233.1914764669918
4,457,-1233.1914764669918
4,458,-1233.1914764669918
4,459,-1233.1914764669918
4,460,-1233.1914764669918
4,461,-1233.1914764669918
4,462,-1233.1914764669918
4,463,-1261.5168177609037
4,464,-1261.5168177609037
4,465,-1261.5168177609037
4,466,-1261.5168177609037
4,467,-1261.5168177609037
4,468,-1261.5168177609037
4,469,-1261.5168177609037
4,470,-1261.5168177609037
4,471,-1261.5168177609037
4,472,-1261.5168177609037
4,473,-1261.5168177609037
4,474,-1261.5168177609037
4,475,-1261.5168177609037
4,476,-1261.5168177609037
4,477,-1261.5168177609037
4,478,-1261.5168177609037
4,479,-1261.5168177609037
4,480,-1261.5168177609037
4,481,-1261.5168177609037
4,482,-1261.5168177609037
4,483,-1261.5168177609037
4,484,-1261.5168177609037
4,485,-1261.5168177609037
4,486,-1261.5168177609037
4,487,-1261.5168177609037
4,488,-1261.5168177609037
4,489,-1261.5168177609037
4,490,-1261.5168177609037
4,491,-1261.5168177609037
4,492,-1261.5168177609037
4,493,-1261.5168177609037
4,494,-1261.5168177609037
4,495,-1261.5168177609037
4,496,-1261.5168177609037
4,497,-1261.5168177609037
4,498,-1261.5168177609037
4,499,-1261.5168177609037
4,500,-1261.5168177609037
4,501,-1261.5168177609037
4,502,-1261.5168177609037
4,503,-1261.5168177609037
4,504,-1261.5168177609037
4,505,-1261.5168177609037
4,506,-1261.5168177609037
4,507,-1261.5168177609037
4,508,-1261.5168177609037
4,509,-1261.5168177609037
4,510,-1261.5168177609037
4,511,-1261.5168177609037
4,512,-1261.5168177609037
5,513,-1261.5168177609037
5,514,-1261.5168177609037
5,515,-1261.5168177609037
5,516,-1261.5168177609037
5,517,-1261.5168177609037
5,518,-1261.5168177609037
5,519,-1261.5168177609037
5,520,-1261.5168177609037
5,521,-1261.5168177609037
5,522,-1261.5168177609037
5,523,-1261.5168177609037
5,524,-1261.5168177609037
5,525,-1261.5168177609037
5,526,-1261.5168177609037
5,527,-1261.5168177609037
5,528,-1261.5168177609037
5,529,-1261.5168177609037
5,530,-1261.5168177609037
5,531,-1261.5168177609037
5,532,-1261.5168177609037
5,533,-1261.5168177609037
5,534,-1261.5168177609037
5,535,-1261.5168177609037
5,536,-1261.5168177609037
5,537,-1261.5168177609037
5,538,-1261.5168177609037
5,539,-1261.5168177609037
5,540,-1261.5168177609037
